OBJECTID,landcoversLandCoverId,landcoversDataSource,landcoversMeasuredAt,siteName,landcoversMeasurementLatitude,landcoversMeasurementLongitude,elevation,landcoversMeasurementElevation,landcoversMucCode,landcoversMucDetails,landcoversMucDescription,landcoversDownwardExtraData,landcoversDownwardPhotoUrl,landcoversDryGround,landcoversEastClassifications,landcoversEastExtraData,landcoversEastPhotoUrl,landcoversFieldNotes,landcoversLeavesOnTrees,landcoversMuddy,landcoversNorthClassifications,landcoversNorthExtraData,landcoversNorthPhotoUrl,landcoversRainingSnowing,landcoversSnowIce,landcoversSouthClassifications,landcoversSouthExtraData,landcoversSouthPhotoUrl,landcoversStandingWater,landcoversUpwardExtraData,landcoversUpwardPhotoUrl,landcoversWestClassifications,landcoversWestExtraData,landcoversWestPhotoUrl
289,35348,GLOBE Observer App,7/21/20 21:20,14SQB106637,33.09170151,-96.74340057,208.699997,206.1000061,null,,null,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1782792/original.jpg,TRUE,null,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1782788/original.jpg,(none),TRUE,TRUE,null,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1782787/original.jpg,FALSE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1782789/original.jpg,FALSE,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1782791/original.jpg,null,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1782790/original.jpg
290,35261,GLOBE Observer App,7/21/20 0:58,14SQB106637,33.09170151,-96.74299622,208.699997,207.199997,null,,null,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1781271/original.jpg,TRUE,null,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1781262/original.jpg,(none),TRUE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1781257/original.jpg,FALSE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1781268/original.jpg,FALSE,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1781270/original.jpg,null,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1781269/original.jpg
291,35346,GLOBE Observer App,7/21/20 21:14,14SQB106637,33.09189987,-96.74279785,208.699997,209.6000061,null,,null,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1782780/original.jpg,TRUE,null,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1782776/original.jpg,(none),TRUE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1782775/original.jpg,FALSE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1782777/original.jpg,FALSE,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1782779/original.jpg,null,(source: camera),https://data.globe.gov/system/photos/2020/07/21/1782778/original.jpg
292,31974,GLOBE Observer App,6/11/20 23:59,14SQB107639,33.09370041,-96.74189758,213.199997,213.699997,null,,null,(source: camera),https://data.globe.gov/system/photos/2020/06/11/1678485/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -6.5))",https://data.globe.gov/system/photos/2020/06/11/1678481/original.jpg,(none),TRUE,FALSE,null,"(source: app, (compassData.horizon: 1.2999999999999972))",https://data.globe.gov/system/photos/2020/06/11/1678480/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -13))",https://data.globe.gov/system/photos/2020/06/11/1678482/original.jpg,FALSE,"(source: app, (compassData.horizon: -11.799999999999997))",https://data.globe.gov/system/photos/2020/06/11/1678484/original.jpg,null,"(source: app, (compassData.horizon: -15.099999999999994))",https://data.globe.gov/system/photos/2020/06/11/1678483/original.jpg
293,31976,GLOBE Observer App,6/12/20 0:51,16TDM120726,42.20140076,-88.06490326,258.7000122,258.2000122,null,,null,"(source: app, (compassData.horizon: -84.9011382738006))",https://data.globe.gov/system/photos/2020/06/12/1678533/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -9.596909346019942))",https://data.globe.gov/system/photos/2020/06/12/1678529/original.jpg,(none),TRUE,FALSE,null,"(source: app, (compassData.horizon: -3.9297659724135343))",https://data.globe.gov/system/photos/2020/06/12/1678528/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -1.8017292193125485))",https://data.globe.gov/system/photos/2020/06/12/1678530/original.jpg,TRUE,"(source: app, (compassData.horizon: 87.9557970807708))",https://data.globe.gov/system/photos/2020/06/12/1678532/original.jpg,null,"(source: app, (compassData.horizon: 0.6022705424616248))",https://data.globe.gov/system/photos/2020/06/12/1678531/original.jpg
294,31977,GLOBE Observer App,6/12/20 0:55,16TDM123726,42.20090103,-88.06109619,256.3999939,255.3999939,null,,null,"(source: app, (compassData.horizon: -87.30109643926542))",https://data.globe.gov/system/photos/2020/06/12/1678539/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -7.382380380182823))",https://data.globe.gov/system/photos/2020/06/12/1678535/original.jpg,(none),TRUE,FALSE,null,"(source: app, (compassData.horizon: -1.7426863470509204))",https://data.globe.gov/system/photos/2020/06/12/1678534/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: 0.7429641082815408))",https://data.globe.gov/system/photos/2020/06/12/1678536/original.jpg,TRUE,"(source: app, (compassData.horizon: 89.56147184483042))",https://data.globe.gov/system/photos/2020/06/12/1678538/original.jpg,null,"(source: app, (compassData.horizon: 1.6161176308430782))",https://data.globe.gov/system/photos/2020/06/12/1678537/original.jpg
295,31978,GLOBE Observer App,6/12/20 1:05,16TDM125726,42.2010994,-88.05870056,252.199997,251.8000031,null,,null,"(source: app, (compassData.horizon: -89.66505389400642))",https://data.globe.gov/system/photos/2020/06/12/1678555/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -4.860813841968337))",https://data.globe.gov/system/photos/2020/06/12/1678551/original.jpg,(none),TRUE,FALSE,null,"(source: app, (compassData.horizon: -5.103998151741777))",https://data.globe.gov/system/photos/2020/06/12/1678550/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -5.7141924043378935))",https://data.globe.gov/system/photos/2020/06/12/1678552/original.jpg,FALSE,"(source: app, (compassData.horizon: 86.88976297362166))",https://data.globe.gov/system/photos/2020/06/12/1678554/original.jpg,null,"(source: app, (compassData.horizon: -2.1077522315111423))",https://data.globe.gov/system/photos/2020/06/12/1678553/original.jpg
296,31986,GLOBE Observer App,6/11/20 19:42,10TFP311796,44.0583992,-121.3622971,1152,1152.199951,M43,,"Herbaceous/Grassland, Short Grass","(source: app, (compassData.horizon: -89.48584246662035))",https://data.globe.gov/system/photos/2020/06/11/1678811/original.jpg,TRUE,"90% MUC 43 [Herbaceous/Grassland, Short Grass]; 20% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 10% MUC 94 [Urban, Other]","(source: app, (compassData.horizon: -6.9081553951126295))",https://data.globe.gov/system/photos/2020/06/11/1678807/original.jpg,"The urban classification is for the school: Summit High School, which is in some of the photos.",TRUE,FALSE,"20% MUC 43 [Herbaceous/Grassland, Short Grass]; 80% MUC 93 [Urban, Roads and Parking]","(source: app, (compassData.horizon: -10.376115773493225))",https://data.globe.gov/system/photos/2020/06/11/1678806/original.jpg,FALSE,FALSE,"30% MUC 94 [Urban, Other]; 70% MUC 43 [Herbaceous/Grassland, Short Grass]","(source: app, (compassData.horizon: 5.768087768882069))",https://data.globe.gov/system/photos/2020/06/11/1678808/original.jpg,FALSE,"(source: app, (compassData.horizon: 81.96488710514424))",https://data.globe.gov/system/photos/2020/06/11/1678810/original.jpg,"20% MUC 93 [Urban, Roads and Parking]; 80% MUC 43 [Herbaceous/Grassland, Short Grass]; 10% MUC 12 (n) [Trees, Loosely Spaced, Deciduous - Needle Leaved]","(source: app, (compassData.horizon: -5.8493969543582836))",https://data.globe.gov/system/photos/2020/06/11/1678809/original.jpg
297,31988,GLOBE Observer App,6/11/20 20:01,10TFP310802,44.06409836,-121.3639984,1156.400024,1158.800049,M11,n,"Trees, Loosely Spaced, Evergreen - Needle Leaved","(source: app, (compassData.horizon: -87.59274950009214))",https://data.globe.gov/system/photos/2020/06/11/1678823/original.jpg,TRUE,"10% MUC 91 [Urban, Residential Property]; 50% MUC 52 [Barren, Sandy]; 50% MUC 33 (l) [Shrubs, Loosely Spaced, Short Extremely Dry]; 60% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]","(source: app, (compassData.horizon: -5.665348784593647))",https://data.globe.gov/system/photos/2020/06/11/1678819/original.jpg,"This is behind a relatively new neighborhood, so the lack of shrubs in some pictures is from clearing the are to build homes.",TRUE,FALSE,"50% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 50% MUC 23 (c) [Shrubs, Closely Spaced, Tall Extremely Dry]; 50% MUC 33 (c) [Shrubs, Closely Spaced, Short Extremely Dry]; 10% MUC 91 [Urban, Residential Property]","(source: app, (compassData.horizon: 0.22429080624986852))",https://data.globe.gov/system/photos/2020/06/11/1678818/original.jpg,FALSE,FALSE,"80% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 50% MUC 33 (c) [Shrubs, Closely Spaced, Short Extremely Dry]; 50% MUC 52 [Barren, Sandy]","(source: app, (compassData.horizon: -3.9725155544250583))",https://data.globe.gov/system/photos/2020/06/11/1678820/original.jpg,FALSE,"(source: app, (compassData.horizon: 80.05574601066786))",https://data.globe.gov/system/photos/2020/06/11/1678822/original.jpg,"50% MUC 23 (c) [Shrubs, Closely Spaced, Tall Extremely Dry]; 50% MUC 33 (c) [Shrubs, Closely Spaced, Short Extremely Dry]; 80% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]","(source: app, (compassData.horizon: -3.7195047427126724))",https://data.globe.gov/system/photos/2020/06/11/1678821/original.jpg
298,32168,GLOBE Observer App,6/14/20 17:14,18SUJ052270,39.0707016,-77.25090027,88.69999695,84.90000153,null,,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685435/original.jpg,TRUE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685430/original.jpg,(none),TRUE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685429/original.jpg,FALSE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685431/original.jpg,TRUE,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685433/original.jpg,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685432/original.jpg
299,32169,GLOBE Observer App,6/14/20 17:17,18SUJ052270,39.0707016,-77.25170135,88.69999695,87.80000305,null,,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685441/original.jpg,TRUE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685437/original.jpg,(none),TRUE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685436/original.jpg,FALSE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685438/original.jpg,TRUE,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685440/original.jpg,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685439/original.jpg
300,32171,GLOBE Observer App,6/14/20 17:23,18SUJ057270,39.07099915,-77.24569702,92.90000153,94,null,,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685454/original.jpg,TRUE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685449/original.jpg,(none),TRUE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685448/original.jpg,FALSE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685450/original.jpg,TRUE,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685452/original.jpg,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685451/original.jpg
301,32173,GLOBE Observer App,6/14/20 17:27,18SUJ057270,39.0705986,-77.24559784,92.90000153,96.30000305,null,,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685466/original.jpg,TRUE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685462/original.jpg,(none),TRUE,TRUE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685461/original.jpg,FALSE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685463/original.jpg,TRUE,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685465/original.jpg,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685464/original.jpg
302,32172,GLOBE Observer App,6/14/20 17:25,18SUJ057270,39.07099915,-77.24569702,92.90000153,94,null,,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685460/original.jpg,TRUE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685456/original.jpg,(none),TRUE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685455/original.jpg,FALSE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685457/original.jpg,TRUE,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685459/original.jpg,null,(source: camera),https://data.globe.gov/system/photos/2020/06/14/1685458/original.jpg
303,32008,GLOBE Observer App,6/12/20 21:00,16SGC528394,33.76490021,-84.27010345,314.7000122,311.1000061,null,,null,"(source: app, (compassData.horizon: -87.20115296258092))",https://data.globe.gov/system/photos/2020/06/12/1680316/original.jpg,TRUE,null,"(source: app, (compassData.horizon: 2.815061276853882))",https://data.globe.gov/system/photos/2020/06/12/1680312/original.jpg,Adopt a pixel observation,TRUE,FALSE,null,"(source: app, (compassData.horizon: 9.05472157856002))",https://data.globe.gov/system/photos/2020/06/12/1680311/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: 4.244875743346796))",https://data.globe.gov/system/photos/2020/06/12/1680313/original.jpg,FALSE,"(source: app, (compassData.horizon: 86.76479312809357))",https://data.globe.gov/system/photos/2020/06/12/1680315/original.jpg,null,"(source: app, (compassData.horizon: 3.8910114202018065))",https://data.globe.gov/system/photos/2020/06/12/1680314/original.jpg
304,32009,GLOBE Observer App,6/12/20 21:10,16SGC528387,33.75870132,-84.26999664,306.5,312.2999878,null,,null,"(source: app, (compassData.horizon: -86.65292084533088))",https://data.globe.gov/system/photos/2020/06/12/1680342/original.jpg,TRUE,null,"(source: app, (compassData.horizon: 10.6864721908603))",https://data.globe.gov/system/photos/2020/06/12/1680338/original.jpg,Adopt a pixel observation. This is at a sports field complex that has a baseball field and soccer fields. I am standing in the parking lot.,TRUE,FALSE,null,"(source: app, (compassData.horizon: 3.1096203543201426))",https://data.globe.gov/system/photos/2020/06/12/1680337/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: 4.807796518498165))",https://data.globe.gov/system/photos/2020/06/12/1680339/original.jpg,FALSE,"(source: app, (compassData.horizon: 88.94171741464149))",https://data.globe.gov/system/photos/2020/06/12/1680341/original.jpg,null,"(source: app, (compassData.horizon: 1.7027490892380115))",https://data.globe.gov/system/photos/2020/06/12/1680340/original.jpg
305,32013,GLOBE Observer App,6/12/20 21:18,10TET602901,47.7621994,-122.1962967,41,26.60000038,M93,,"Urban, Roads and Parking","(source: app, (compassData.horizon: -80.76588578852937))",https://data.globe.gov/system/photos/2020/06/12/1680411/original.jpg,FALSE,"30% MUC 91 [Urban, Residential Property]; 70% MUC 93 [Urban, Roads and Parking]","(source: app, (compassData.horizon: 1.792717303074923))",https://data.globe.gov/system/photos/2020/06/12/1680407/original.jpg,(none),TRUE,FALSE,"30% MUC 91 [Urban, Residential Property]; 70% MUC 93 [Urban, Roads and Parking]","(source: app, (compassData.horizon: -11.10398502724233))",https://data.globe.gov/system/photos/2020/06/12/1680406/original.jpg,TRUE,FALSE,"80% MUC 91 [Urban, Residential Property]; 20% MUC 93 [Urban, Roads and Parking]",(source: camera),https://data.globe.gov/system/photos/2020/06/12/1680408/original.jpg,FALSE,"(source: app, (compassData.horizon: 66.80604959040005))",https://data.globe.gov/system/photos/2020/06/12/1680410/original.jpg,"30% MUC 91 [Urban, Residential Property]; 70% MUC 93 [Urban, Roads and Parking]",(source: camera),https://data.globe.gov/system/photos/2020/06/12/1680409/original.jpg
306,32014,GLOBE Observer App,6/12/20 21:37,10TET598901,47.76200104,-122.2018967,28.10000038,27.89999962,M93,,"Urban, Roads and Parking","(source: app, (compassData.horizon: -86.3295393091548))",https://data.globe.gov/system/photos/2020/06/12/1680418/original.jpg,FALSE,"60% MUC 93 [Urban, Roads and Parking]; 10% MUC 00 [Trees, Closely Spaced, Not Sure Which]","(source: app, (compassData.horizon: -4.046911643804435))",https://data.globe.gov/system/photos/2020/06/12/1680414/original.jpg,(none),TRUE,FALSE,"40% MUC 92 [Urban, Commercial Property]; 60% MUC 93 [Urban, Roads and Parking]","(source: app, (compassData.horizon: -4.100470871934419))",https://data.globe.gov/system/photos/2020/06/12/1680413/original.jpg,TRUE,FALSE,"50% MUC 92 [Urban, Commercial Property]","(source: app, (compassData.horizon: -10.938416966987376))",https://data.globe.gov/system/photos/2020/06/12/1680415/original.jpg,FALSE,"(source: app, (compassData.horizon: 83.8142454327818))",https://data.globe.gov/system/photos/2020/06/12/1680417/original.jpg,"80% MUC 93 [Urban, Roads and Parking]","(source: app, (compassData.horizon: 0.3258521241174037))",https://data.globe.gov/system/photos/2020/06/12/1680416/original.jpg
307,32015,GLOBE Observer App,6/12/20 21:40,18TXL075176,40.80239868,-73.72519684,29,27.29999924,null,,null,"(source: app, (compassData.horizon: -87.4743886675898))",https://data.globe.gov/system/photos/2020/06/12/1680424/original.jpg,TRUE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/12/1680420/original.jpg,Mosquito traps set up,TRUE,FALSE,null,(source: camera),https://data.globe.gov/system/photos/2020/06/12/1680419/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -17.325885387249983))",https://data.globe.gov/system/photos/2020/06/12/1680421/original.jpg,FALSE,"(source: app, (compassData.horizon: 81.85737070754135))",https://data.globe.gov/system/photos/2020/06/12/1680423/original.jpg,null,(source: camera),https://data.globe.gov/system/photos/2020/06/12/1680422/original.jpg
308,32016,GLOBE Observer App,6/12/20 21:46,10TET597905,47.7655983,-122.2020035,41.5,55.20000076,M43,,"Herbaceous/Grassland, Short Grass","(source: app, (compassData.horizon: -71.63489436447584))",https://data.globe.gov/system/photos/2020/06/12/1680430/original.jpg,FALSE,"40% MUC 93 [Urban, Roads and Parking]","(source: app, (compassData.horizon: -2.0548266948690355))",https://data.globe.gov/system/photos/2020/06/12/1680426/original.jpg,(none),TRUE,FALSE,"10% MUC 3 (l) [Shrubs, Loosely Spaced, Not Sure Which]; 30% MUC 43 [Herbaceous/Grassland, Short Grass]","(source: app, (compassData.horizon: -4.895991893099037))",https://data.globe.gov/system/photos/2020/06/12/1680425/original.jpg,TRUE,FALSE,"40% MUC 93 [Urban, Roads and Parking]","(source: app, (compassData.horizon: -36.519873006865026))",https://data.globe.gov/system/photos/2020/06/12/1680427/original.jpg,FALSE,"(source: app, (compassData.horizon: 84.88864188840846))",https://data.globe.gov/system/photos/2020/06/12/1680429/original.jpg,"60% MUC 43 [Herbaceous/Grassland, Short Grass]","(source: app, (compassData.horizon: -10.138275315692297))",https://data.globe.gov/system/photos/2020/06/12/1680428/original.jpg
309,32018,GLOBE Observer App,6/12/20 21:53,10TET602905,47.7655983,-122.1964035,54.5,55.40000153,M93,,"Urban, Roads and Parking","(source: app, (compassData.horizon: -87.39059554776952))",https://data.globe.gov/system/photos/2020/06/12/1680445/original.jpg,FALSE,"40% MUC 93 [Urban, Roads and Parking]; 30% MUC 43 [Herbaceous/Grassland, Short Grass]","(source: app, (compassData.horizon: -15.621923911684533))",https://data.globe.gov/system/photos/2020/06/12/1680441/original.jpg,(none),TRUE,FALSE,"40% MUC 93 [Urban, Roads and Parking]; 20% MUC 43 [Herbaceous/Grassland, Short Grass]","(source: app, (compassData.horizon: -2.0834277380548656))",https://data.globe.gov/system/photos/2020/06/12/1680440/original.jpg,TRUE,FALSE,"50% MUC 93 [Urban, Roads and Parking]; 10% MUC 43 [Herbaceous/Grassland, Short Grass]; 10% MUC 3 (c) [Shrubs, Closely Spaced, Not Sure Which]","(source: app, (compassData.horizon: -7.775625581132317))",https://data.globe.gov/system/photos/2020/06/12/1680442/original.jpg,FALSE,"(source: app, (compassData.horizon: 78.07648106768576))",https://data.globe.gov/system/photos/2020/06/12/1680444/original.jpg,"10% MUC 3 (c) [Shrubs, Closely Spaced, Not Sure Which]; 10% MUC 1 [Trees, Loosely Spaced, Not Sure Which]","(source: app, (compassData.horizon: -6.403819316230155))",https://data.globe.gov/system/photos/2020/06/12/1680443/original.jpg
310,32019,GLOBE Observer App,6/12/20 22:04,10TET593905,47.76570129,-122.2078018,27.10000038,33.09999847,M93,,"Urban, Roads and Parking","(source: app, (compassData.horizon: -85.02310473605891))",https://data.globe.gov/system/photos/2020/06/12/1680451/original.jpg,FALSE,"30% MUC 00 [Trees, Closely Spaced, Not Sure Which]; 30% MUC 3 (c) [Shrubs, Closely Spaced, Not Sure Which]","(source: app, (compassData.horizon: -3.242678650892813))",https://data.globe.gov/system/photos/2020/06/12/1680447/original.jpg,(none),TRUE,FALSE,"50% MUC 93 [Urban, Roads and Parking]","(source: app, (compassData.horizon: -8.652054979861802))",https://data.globe.gov/system/photos/2020/06/12/1680446/original.jpg,TRUE,FALSE,"20% MUC 00 [Trees, Closely Spaced, Not Sure Which]; 40% MUC 43 [Herbaceous/Grassland, Short Grass]","(source: app, (compassData.horizon: -15.885554459931882))",https://data.globe.gov/system/photos/2020/06/12/1680448/original.jpg,FALSE,"(source: app, (compassData.horizon: 76.86425658713905))",https://data.globe.gov/system/photos/2020/06/12/1680450/original.jpg,"10% MUC 43 [Herbaceous/Grassland, Short Grass]; 30% MUC 93 [Urban, Roads and Parking]","(source: app, (compassData.horizon: -8.866075209221634))",https://data.globe.gov/system/photos/2020/06/12/1680449/original.jpg
311,32046,GLOBE Observer App,6/13/20 15:31,18TWK305766,40.43980026,-74.63950348,26.5,26.79999924,null,,null,"(source: app, (compassData.horizon: -86.8888886983134))",https://data.globe.gov/system/photos/2020/06/13/1682266/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -10.99693670477049))",https://data.globe.gov/system/photos/2020/06/13/1682262/original.jpg,(none),TRUE,FALSE,null,"(source: app, (compassData.horizon: -11.629245072751232))",https://data.globe.gov/system/photos/2020/06/13/1682261/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -10.974905821462428))",https://data.globe.gov/system/photos/2020/06/13/1682263/original.jpg,FALSE,"(source: app, (compassData.horizon: 86.49934295724584))",https://data.globe.gov/system/photos/2020/06/13/1682265/original.jpg,null,"(source: app, (compassData.horizon: -9.69688486694102))",https://data.globe.gov/system/photos/2020/06/13/1682264/original.jpg
312,32047,GLOBE Observer App,6/13/20 15:38,18TWK302763,40.43740082,-74.64320374,15.39999962,18.60000038,null,,null,"(source: app, (compassData.horizon: -86.01891432496458))",https://data.globe.gov/system/photos/2020/06/13/1682272/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -13.569260438133725))",https://data.globe.gov/system/photos/2020/06/13/1682268/original.jpg,(none),TRUE,FALSE,null,"(source: app, (compassData.horizon: -11.369874692387384))",https://data.globe.gov/system/photos/2020/06/13/1682267/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -11.580709785985988))",https://data.globe.gov/system/photos/2020/06/13/1682269/original.jpg,FALSE,"(source: app, (compassData.horizon: 89.56565070317677))",https://data.globe.gov/system/photos/2020/06/13/1682271/original.jpg,null,"(source: app, (compassData.horizon: -10.83552981688537))",https://data.globe.gov/system/photos/2020/06/13/1682270/original.jpg
313,32048,GLOBE Observer App,6/13/20 15:42,18TWK307761,40.43519974,-74.63800049,19.5,21.20000076,null,,null,"(source: app, (compassData.horizon: -87.98108187290006))",https://data.globe.gov/system/photos/2020/06/13/1682278/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -12.45513032609334))",https://data.globe.gov/system/photos/2020/06/13/1682274/original.jpg,There is a small creek Southeast that can’t be seen because of foliage,TRUE,FALSE,null,"(source: app, (compassData.horizon: -11.52703622780453))",https://data.globe.gov/system/photos/2020/06/13/1682273/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -12.552594477042462))",https://data.globe.gov/system/photos/2020/06/13/1682275/original.jpg,FALSE,"(source: app, (compassData.horizon: 89.41944663919244))",https://data.globe.gov/system/photos/2020/06/13/1682277/original.jpg,null,"(source: app, (compassData.horizon: -5.022671452125763))",https://data.globe.gov/system/photos/2020/06/13/1682276/original.jpg
314,32049,GLOBE Observer App,6/13/20 15:53,18TWK300760,40.43429947,-74.64550018,19.60000038,15.5,null,,null,"(source: app, (compassData.horizon: -86.21853829294541))",https://data.globe.gov/system/photos/2020/06/13/1682284/original.jpg,FALSE,null,"(source: app, (compassData.horizon: -14.398504435973223))",https://data.globe.gov/system/photos/2020/06/13/1682280/original.jpg,(none),TRUE,TRUE,null,"(source: app, (compassData.horizon: -13.45281871028402))",https://data.globe.gov/system/photos/2020/06/13/1682279/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -11.431755552668974))",https://data.globe.gov/system/photos/2020/06/13/1682281/original.jpg,TRUE,"(source: app, (compassData.horizon: 87.88210050460737))",https://data.globe.gov/system/photos/2020/06/13/1682283/original.jpg,null,"(source: app, (compassData.horizon: -5.682482739755301))",https://data.globe.gov/system/photos/2020/06/13/1682282/original.jpg
315,32427,GLOBE Observer App,6/15/20 22:04,18TWK300760,40.43439865,-74.64550018,19.60000038,15.69999981,null,,null,"(source: app, (compassData.horizon: -84.58565469227008))",https://data.globe.gov/system/photos/2020/06/15/1689343/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -21.632094614552756))",https://data.globe.gov/system/photos/2020/06/15/1689338/original.jpg,(none),TRUE,FALSE,null,"(source: app, (compassData.horizon: -23.548427210523002))",https://data.globe.gov/system/photos/2020/06/15/1689337/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -22.022344751210625))",https://data.globe.gov/system/photos/2020/06/15/1689339/original.jpg,FALSE,"(source: app, (compassData.horizon: 85.80878221232086))",https://data.globe.gov/system/photos/2020/06/15/1689341/original.jpg,null,"(source: app, (compassData.horizon: -16.811673751781868))",https://data.globe.gov/system/photos/2020/06/15/1689340/original.jpg
316,32597,GLOBE Observer App,6/17/20 0:04,18TWK300760,40.43470001,-74.64520264,19.60000038,14.30000019,null,,null,"(source: app, (compassData.horizon: -85.24398424320628))",https://data.globe.gov/system/photos/2020/06/17/1692219/original.jpg,TRUE,null,"(source: app, (compassData.horizon: -14.668412389232444))",https://data.globe.gov/system/photos/2020/06/17/1692215/original.jpg,(none),TRUE,FALSE,null,"(source: app, (compassData.horizon: -20.391741909511325))",https://data.globe.gov/system/photos/2020/06/17/1692214/original.jpg,FALSE,FALSE,null,"(source: app, (compassData.horizon: -18.27779886865008))",https://data.globe.gov/system/photos/2020/06/17/1692216/original.jpg,FALSE,"(source: app, (compassData.horizon: 87.72803512548944))",https://data.globe.gov/system/photos/2020/06/17/1692218/original.jpg,null,"(source: app, (compassData.horizon: -20.355440183788303))",https://data.globe.gov/system/photos/2020/06/17/1692217/original.jpg
